symptom_text,department,label
chest tightness at rest worsening at night,Cardiology,0
back pain mild to moderate,Orthopedics,2
back pain after eating,Orthopedics,2
watery eyes,Ophthalmology,10
seizures with fever,Neurology,1
menopause symptoms after eating,Gynecology,7
swollen face in morning after eating,Nephrology,12
nasal congestion in the morning,ENT,11
heart racing worsening at night,Cardiology,0
excessive sweating,Endocrinology,6
chest pain worsening at night,Cardiology,0
nasal congestion in the morning,ENT,11
anxiety chronic,Psychiatry,9
child rash in the morning,Pediatrics,8
heart racing with fever,Cardiology,0
decreased urine output mild to moderate,Nephrology,12
squinting mild to moderate,Ophthalmology,10
chest pain since 1 week,Cardiology,0
watery eyes chronic,Ophthalmology,10
excessive sweating chronic,Endocrinology,6
child vomiting chronic,Pediatrics,8
OCD symptoms mild to moderate,Psychiatry,9
swollen wrist chronic,Orthopedics,2
chest tightness at rest sudden onset,Cardiology,0
OCD symptoms in the morning,Psychiatry,9
bone pain chronic,Orthopedics,2
heart racing sudden onset,Cardiology,0
hearing loss sudden onset,ENT,11
knee pain chronic,Orthopedics,2
constipation in the morning,Gastroenterology,4
OCD symptoms sudden onset,Psychiatry,9
schizophrenia symptoms mild to moderate,Psychiatry,9
sore throat sudden onset,ENT,11
pelvic pain mild to moderate,Gynecology,7
shoulder stiffness mild to moderate,Orthopedics,2
sinusitis since 1 week,ENT,11
delayed milestones in the morning,Pediatrics,8
frequent chest infections chronic,Pulmonology,5
breathlessness at night in the morning,Pulmonology,5
yellow eyes worsening at night,Gastroenterology,4
menopause symptoms after eating,Gynecology,7
shortness of breath mild to moderate,Cardiology,0
frequent UTI,Nephrology,12
shoulder stiffness since 1 week,Orthopedics,2
seizures with fever,Neurology,1
menopause symptoms sudden onset,Gynecology,7
asthma attack mild to moderate,Pulmonology,5
vertigo since 1 week,ENT,11
breathlessness on exertion in the morning,Cardiology,0
vision blurring suddenly since 1 week,Neurology,1
hair thinning mild to moderate,Endocrinology,6
slurred speech since 2 days,Neurology,1
chest pressure,Cardiology,0
hair loss,Dermatology,3
snoring with fever,ENT,11
tonsillitis in the morning,ENT,11
cold intolerance since 1 week,Endocrinology,6
breathlessness on exertion since 1 week,Cardiology,0
chest congestion since 1 week,Pulmonology,5
snoring since 1 week,ENT,11
vertigo since 2 days,ENT,11
liver pain sudden onset,Gastroenterology,4
snoring with fever,ENT,11
child rash after eating,Pediatrics,8
stomach pain chronic,Gastroenterology,4
palpitations in the morning,Cardiology,0
vision blurring suddenly since 1 week,Neurology,1
OCD symptoms since 2 days,Psychiatry,9
child rash mild to moderate,Pediatrics,8
increased thirst sudden onset,Endocrinology,6
chest congestion worsening at night,Pulmonology,5
menstrual cramps since 1 week,Gynecology,7
breathlessness at night since 2 days,Pulmonology,5
dengue symptoms chronic,General Medicine,13
sinusitis chronic,ENT,11
infant not feeding sudden onset,Pediatrics,8
weakness chronic,General Medicine,13
irregular periods worsening at night,Gynecology,7
diabetes symptoms worsening at night,Endocrinology,6
blurry vision since 1 week,Ophthalmology,10
hair loss sudden onset,Dermatology,3
wheezing sudden onset,Pulmonology,5
vomiting mild to moderate,Gastroenterology,4
dialysis related worsening at night,Nephrology,12
insulin resistance in the morning,Endocrinology,6
child fever sudden onset,Pediatrics,8
vaginal discharge since 1 week,Gynecology,7
diabetes symptoms chronic,Endocrinology,6
glaucoma symptoms chronic,Ophthalmology,10
cataract since 2 days,Ophthalmology,10
anxiety mild to moderate,Psychiatry,9
PCOD symptoms mild to moderate,Gynecology,7
kidney pain,Nephrology,12
kidney pain,Nephrology,12
suicidal thoughts after eating,Psychiatry,9
blood in urine since 1 week,Nephrology,12
squinting since 2 days,Ophthalmology,10
snoring with fever,ENT,11
constipation worsening at night,Gastroenterology,4
tingling in hands worsening at night,Neurology,1
glaucoma symptoms with fever,Ophthalmology,10
floaters in vision,Ophthalmology,10
frequent urination in the morning,Endocrinology,6
sinusitis mild to moderate,ENT,11
health certificate since 1 week,General Medicine,13
insomnia,Psychiatry,9
hormonal imbalance with fever,Gynecology,7
depression since 2 days,Psychiatry,9
fracture since 2 days,Orthopedics,2
pregnancy symptoms with fever,Gynecology,7
insomnia chronic,Psychiatry,9
fainting since 2 days,Neurology,1
chest congestion sudden onset,Pulmonology,5
shortness of breath,Cardiology,0
hair thinning sudden onset,Endocrinology,6
floaters in vision,Ophthalmology,10
sore throat worsening at night,ENT,11
thyroid swelling mild to moderate,Endocrinology,6
blood in stool in the morning,Gastroenterology,4
delayed milestones chronic,Pediatrics,8
general checkup sudden onset,General Medicine,13
eczema flare since 1 week,Dermatology,3
neck stiffness in the morning,Orthopedics,2
excessive sweating in the morning,Endocrinology,6
child rash mild to moderate,Pediatrics,8
smoking related cough since 2 days,Pulmonology,5
OCD symptoms mild to moderate,Psychiatry,9
weakness worsening at night,General Medicine,13
dizziness in the morning,Neurology,1
fever with fever,General Medicine,13
coughing blood chronic,Pulmonology,5
childhood asthma,Pediatrics,8
wheezing,Pulmonology,5
tonsillitis after eating,ENT,11
dizziness in the morning,Neurology,1
malaria symptoms chronic,General Medicine,13
red eye mild to moderate,Ophthalmology,10
blood in urine worsening at night,Nephrology,12
floaters in vision since 1 week,Ophthalmology,10
newborn jaundice chronic,Pediatrics,8
dialysis related since 1 week,Nephrology,12
thyroid swelling since 2 days,Endocrinology,6
severe headache,Neurology,1
frequent chest infections,Pulmonology,5
TB symptoms sudden onset,Pulmonology,5
child rash after eating,Pediatrics,8
skin rash since 1 week,Dermatology,3
vertigo chronic,ENT,11
asthma attack in the morning,Pulmonology,5
